ID,ADDRESS,CITY,ZIP
483,5810 N Lovers Lane Rd                               ,Milwaukee      ,53225-2205
484,1209 Jackson St                               ,Merrill        ,54452-2820
485,524 E State St                               ,Burlington     ,53105-1541
486,4212 W Auer Ave                               ,Milwaukee      ,53216-3505
487,3456 N 47th St                               ,Milwaukee      ,53216-3335
488,6438 N 84th St                               ,Milwaukee      ,53224-5402
489,5517 N 56th St                               ,Milwaukee      ,53218-3221
42,7362 Timber Lake Trl                               ,Madison        ,53719-3356
88,4219 N 13th St                               ,Milwaukee      ,53209-6936
90,109 W Roberts St                               ,Holmen         ,54636-9714
170,8547 W Crossfield Ave                               ,Milwaukee      ,53225
187,1229 N 31st St                               ,Milwaukee      ,53208-2941
188,1710 Cedarhurst Dr                               ,New London     ,54961-2290
190,7424 N 86th St                               ,Milwaukee      ,53224-4052
235,9705 W Hampton Ave                               ,Milwaukee      ,53225-4048
246,2005 Evans St                               ,Oshkosh        ,54901-2365
253,5231 N 83rd St                               ,Milwaukee      ,53218-3525
260,3289 N 49th St                               ,Milwaukee      ,53216-3203
337,301 Thurow Dr                               ,Oconomowoc     ,53066-3075
341,1706 N 28th St                               ,Milwaukee      ,53208
342,2566 N 48th St                               ,Milwaukee      ,53210-2845
386,2857 N 56th St                               ,Milwaukee      ,53210-1526
387,E11054 Center Rd                               ,North Freedom  ,53951-9697
390,2933 N 26th St                               ,Milwaukee      ,53206
420,5515 N 58th St                               ,Milwaukee      ,53218
440,7837 N 60th St                               ,Milwaukee      ,53223-4176
14,5351 N 55th St                               ,Milwaukee      ,53218-3209
21,4255 N 26th St                               ,Milwaukee      ,53209
24,1 Waunona Woods Ct                               ,Madison        ,53713-1764
26,5714 N 41st St                               ,Milwaukee      ,53209-3927
30,6459 N 52nd St                               ,Milwaukee      ,53223-6011
33,129 E Main St                               ,Weyauwega      ,54983-9071
34,4314 N 42nd Pl                               ,Milwaukee      ,53216-1624
48,4352 N 44th St                               ,Milwaukee      ,53216-1470
67,3264 N 37th St                               ,Milwaukee      ,53216-3724
70,1680 Western Ave                               ,Green Bay      ,54303-9035
75,2580 240th St                               ,Cushing        ,54006-3304
77,3244 N Palmer St                               ,Milwaukee      ,53212-2052
84,5724 N 76th St                               ,Milwaukee      ,53218-2255
109,3508 N 99th St                               ,Milwaukee      ,53222-2418
121,4478 N 46th St                               ,Milwaukee      ,53218-5250
129,620 E County Road C                               ,Iola           ,54945
138,7961a W Appleton Ave                               ,Milwaukee      ,53218-4502
140,4202 Melody Ln                               ,Madison        ,53704-2849
144,2935a N Palmer St                               ,Milwaukee      ,53212-2428
158,457 Madison St                               ,Janesville     ,53548-3640
162,N6005 County Road X                               ,Tony           ,54563-9726
165,4512 Jenewein Rd                               ,Fitchburg      ,53711-4710
196,401 S Marquette Rd                               ,Pr Du Chien    ,53821-2022
197,W8858 County Road F                               ,Antigo         ,54409-9115
215,13290 State Road 48                               ,Grantsburg     ,54840-7727
218,5455 N 37th St                               ,Milwaukee      ,53209-4731
224,8583 W Appleton Ave                               ,Milwaukee      ,53225-4226
225,4051 N 19th St                               ,Milwaukee      ,53209-6803
227,3166 N 41st St                               ,Milwaukee      ,53216-3615
229,3950 N 36th St                               ,Milwaukee      ,53216-2509
230,4939 N 66th St                               ,Milwaukee      ,53218-4035
245,1629 Deane Blvd                               ,Racine         ,53405-3416
250,W2210 Davis Creek Rd                               ,Melrose        ,54642-8278
260,8430 W Villard Ave                               ,Milwaukee      ,53225-3504
262,741 N 112th St                               ,Milwaukee      ,53226
270,5183 N 61st St                               ,Milwaukee      ,53218-4112
273,10423 W Daphne St                               ,Milwaukee      ,53224-5154
286,7585 S County Road K                               ,Merrill        ,54452-7927
291,493 Pepper Ave                               ,Wisc Rapids    ,54494-6111
300,407 3rd St                               ,Luxemburg      ,54217-1023
329,5243 N 28th St                               ,Milwaukee      ,53209-4942
330,W4240 White Swan Ln                               ,Redgranite     ,54970-7099
340,4848 N 37th St                               ,Milwaukee      ,53209-5319
341,3050 N 48th St                               ,Milwaukee      ,53210-1737
347,N5246 Hwy 57                               ,Fredonia       ,53021
358,8022 W Crawford Ave                               ,Milwaukee      ,53220-1637
368,2230 Red Arrow Trl                               ,Fitchburg      ,53711-4664
369,5673 N 42nd St                               ,Milwaukee      ,53209-3959
371,3915 N 61st St                               ,Milwaukee      ,53216-2104
379,609 Brasted Pl                               ,Waukesha       ,53186-5503
389,4736 N 84th St                               ,Milwaukee      ,53225-4918
418,6414 21st Ave                               ,Kenosha        ,53143-4847
453,1109 S 18th Ave                               ,Wausau         ,54401-5712
458,4958 N 44th St                               ,Milwaukee      ,53218-4404
464,1521 Van Cleve Ln                               ,Crandon        ,54520
472,3915 N 68th St                               ,Milwaukee      ,53216-2011
475,4767 N 57th St                               ,Milwaukee      ,53218-5034
477,439 Green Acres Ave                               ,Tomah          ,54660-1359
485,3365 N 24th Pl                               ,Milwaukee      ,53206-1230
489,500 Schindler Pl                               ,Menasha        ,54952-4001
3,101 S Grant St                               ,Belleville     ,53508
4,7664 Terwilliger Rd                               ,Clinton        ,53525
5,3327 E Milwaukee St                               ,Janesville     ,53546
6,2115 Fairfax St                               ,Eau Claire     ,54701
7,5201 Alderson St                               ,Schofield      ,54476-2312
8,700 3 Mile Rd                               ,Racine         ,53402-3090
9,4080 N Calhoun Rd                               ,Brookfield     ,53005
10,18205 W Bluemound Rd                               ,Brookfield     ,53045
11,125 E Sunset Dr                               ,Waukesha       ,53189
12,1101 S Taylor St                               ,Green Bay      ,54304-2041
13,8453 E Pt Douglas Rd                               ,Cottage Grove  ,55016
14,6726 Raymond Rd                               ,Madison        ,53719
15,7126 Old Sauk Rd                               ,Madison        ,53717
16,3036 N Ballard Rd                               ,Appleton       ,54911-8707
17,2407 S Oneida St                               ,Appleton       ,54915
18,11423 W Cleveland Ave                               ,West Allis     ,53227-3040
